,city,city_date,city_id,cloudiness,country,humidity,lat,lng,max_temp,wind_speed
128,Muros,11-05-2017,3115824,40,ES,93,42.78,-9.06,48.2,2.24
129,Longyearbyen,11-05-2017,2729907,75,SJ,74,78.22,15.64,28.4,8.05
130,Castro,11-05-2017,3466704,76,BR,90,-24.79,-50.01,57.34,12.21
131,Samarai,11-05-2017,2132606,64,PG,100,-10.62,150.67,81.37,7.07
132,Mathura,11-05-2017,1263364,0,IN,81,27.5,77.68,61.26,2.71
133,Cherskiy,11-05-2017,2126199,88,RU,76,68.75,161.3,33.72,10.09
134,Bethel,11-05-2017,5282297,90,US,93,41.37,-73.41,55.4,3.36
135,Inverell,11-05-2017,2162662,20,AU,100,-29.78,151.12,60.58,6.62
136,Severo-Kurilsk,11-05-2017,2121385,80,RU,100,50.68,156.12,34.26,17.02
137,Rikitea,11-05-2017,4030556,44,PF,100,-23.12,-134.97,74.67,12.55
138,The Valley,11-05-2017,3573374,20,AI,83,18.22,-63.06,80.6,5.82
139,Lavrentiya,11-05-2017,4031637,8,RU,100,65.58,-171.0,34.57,4.05
140,Thinadhoo,11-05-2017,1337610,64,MV,100,0.53,72.93,80.38,12.55
141,Albany,11-05-2017,5106834,90,US,81,42.65,-73.76,53.26,14.99
142,Canakkale,11-05-2017,749780,20,TR,100,40.15,26.41,50.19,6.4
143,Jamestown,11-05-2017,5122534,90,US,100,42.1,-79.24,56.61,11.41
144,Tiassale,11-05-2017,2280761,8,CI,89,5.9,-4.83,75.43,4.5
145,Kapaa,11-05-2017,5848280,40,US,65,22.08,-159.32,80.4,16.11
146,Ólafsvík,11-05-2017,3414079,56,IS,93,64.89,-23.71,45.46,16.24
147,Yuzhno-Kurilsk,11-05-2017,2119447,0,RU,100,44.03,145.86,48.61,19.26
148,Mount Isa,11-05-2017,2065594,0,AU,40,-20.73,139.5,87.8,9.17
149,Kodiak,11-05-2017,5866583,90,US,86,57.79,-152.41,39.2,12.75
150,Leirvik,11-05-2017,3147822,64,NO,81,59.78,5.5,42.8,13.87
151,Rikitea,11-05-2017,4030556,44,PF,100,-23.12,-134.97,74.67,12.55
152,Saldanha,11-05-2017,3361934,0,ZA,77,-33.01,17.94,59.0,16.11
153,Krasnyy Bor,11-05-2017,541826,75,RU,93,59.68,30.67,41.0,6.71
154,Tiksi,11-05-2017,2015306,44,RU,74,71.69,128.87,-24.97,3.38
155,Bethel,11-05-2017,5282297,90,US,93,41.37,-73.41,55.4,3.36
156,Amparihy,11-05-2017,1078317,75,MG,94,-25.02,46.97,68.0,13.87
157,Port Lincoln,11-05-2017,2063036,68,AU,94,-34.73,135.87,59.41,22.17
158,Port Blair,11-05-2017,1259385,32,IN,100,11.67,92.75,82.81,14.45
159,Mahebourg,11-05-2017,934322,40,MU,68,-20.41,57.7,71.6,5.82
